,Country/Region,Province,Date,Type,Reference,Lat,Lng
266,US,Maine,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,45.253783,-69.4454689
267,US,Maryland,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,39.0457549,-76.64127119999999
268,US,Massachusetts,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,42.4072107,-71.3824374
269,US,Michigan,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,44.3148443,-85.60236429999999
270,US,Minnesota,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,46.729553,-94.6858998
271,US,Mississippi,4/3/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,32.3546679,-89.3985283
272,US,Missouri,4/6/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,37.9642529,-91.8318334
273,US,Montana,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,46.8796822,-110.3625658
274,US,Nebraska,,None,,41.4925374,-99.9018131
275,US,Nevada,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,38.8026097,-116.419389
276,US,New Hampshire,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,43.1938516,-71.5723953
277,US,New Jersey,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,40.0583238,-74.4056612
278,US,New Mexico,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,34.5199402,-105.8700901
279,US,New York,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,40.7127753,-74.0059728
280,US,North Carolina,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,35.7595731,-79.01929969999999
281,US,North Dakota,,None,,47.5514926,-101.0020119
282,US,Ohio,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,40.4172871,-82.90712300000001
283,US,Oklahoma,,None,,35.4675602,-97.5164276
284,US,Oregon,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,43.8041334,-120.5542012
285,US,Pennsylvania,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,41.2033216,-77.1945247
286,US,Puerto Rico,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico,18.220833,-66.590149
287,US,Rhode Island,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,41.5800945,-71.4774291
288,US,South Carolina,,None,,33.836081,-81.1637245
289,US,South Dakota,,None,,43.9695148,-99.9018131
290,US,Tennessee,3/31/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,35.5174913,-86.5804473
291,US,Texas,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,31.9685988,-99.9018131
292,US,Utah,,None,,39.3209801,-111.0937311
